,id,Price,volume,buy,Date
0,0,0.36,30.55,1,1557309604076
1,1,0.3009,36.66,1,1557309607545
2,2,0.3208,617.54,0,1557310090961
3,3,0.321,35.0,0,1557310108920
4,4,0.321,1.66,0,1557311036586
5,5,0.321,1366.0,1,1557311036620
6,6,0.321,187.64,1,1557311036694
7,7,0.321,79.63,1,1557311036712
8,8,0.321,97.42,1,1557311036782
9,9,0.316,97.42,1,1557311036796
10,10,0.3177,109.74,1,1557311088277
11,11,0.3177,959.1,1,1557311125129
12,12,0.3193,61.0,1,1557313064177
13,13,0.3179,556.0,1,1557314624074
14,14,0.3179,839.92,1,1557314946758
15,15,0.3179,572.52,1,1557314946860
16,16,0.3179,294.62,1,1557314950028
17,17,0.3179,1140.18,1,1557314950125
18,18,0.3207,835.27,0,1557316028719
19,19,0.3208,1581.58,0,1557316028719
20,20,0.3208,620.0,1,1557324734214
21,21,0.3208,384.67,1,1557324734274
22,22,0.3117,384.67,1,1557324734335
23,23,0.3157,100.0,1,1557330885948
24,24,0.3185,911.0,1,1557332408091
25,25,0.3155,911.0,1,1557332408129
26,26,0.3155,1110.33,1,1557334881988
27,27,0.3155,215.73,1,1557334881998
28,28,0.3138,307.04,1,1557334881998
29,29,0.317,632.87,0,1557335436181
30,30,0.3164,202.44,0,1557335440137
31,31,0.3164,5412.4,1,1557339707473
32,32,0.3164,947.16,1,1557339707519
33,33,0.3164,561.3,1,1557339725002
34,34,0.3164,1315.0,1,1557339725412
35,35,0.3164,1165.88,1,1557339725438
36,36,0.3164,484.68,1,1557339725564
37,37,0.3164,96.53,1,1557339734332
38,38,0.3164,430.93,1,1557339734382
39,39,0.3164,430.83,1,1557339734448
40,40,0.3164,430.8,1,1557339734583
41,41,0.3164,143.0,1,1557339735321
42,42,0.3164,429.81,1,1557339735372
43,43,0.3164,2212.0,1,1557339735439
44,44,0.3164,163.0,1,1557339744886
45,45,0.3165,100.0,1,1557340039222
46,46,0.3165,312.69,0,1557340948582
47,47,0.3165,337.0,1,1557341053899
48,48,0.318,125.91,1,1557342263061
49,49,0.3165,50.01,1,1557342608270
50,50,0.3164,0.54,1,1557344659242
51,51,0.3164,63.51,0,1557344920837
52,52,0.3164,100.0,0,1557345284236
53,53,0.3164,100.0,0,1557345293915
54,54,0.315,35.0,1,1557345363280
55,55,0.315,233.61,1,1557345677095
56,56,0.315,429.1,1,1557345681769
57,57,0.315,281.83,1,1557345681784
58,58,0.3163,1640.0,0,1557349120098
59,59,0.3118,204.55,1,1557349131225
60,60,0.3117,100.0,1,1557349971183
61,61,0.3067,32.02,1,1557349971183
62,62,0.3091,63.0,1,1557355238252
63,63,0.3083,391.0,1,1557358200356
64,64,0.3083,259.0,1,1557358201755
65,65,0.3069,62.5,1,1557358234335
66,66,0.3163,35.84,0,1557368715961
67,67,0.3164,35.19,0,1557369247643
68,68,0.3164,964.81,1,1557369247661
69,69,0.3164,63.0,1,1557371008044
70,70,0.3164,0.21,1,1557371008083
71,71,0.3116,34.17,1,1557371574378
72,72,0.3112,68.43,1,1557371745360
73,73,0.3113,35.71,1,1557375654834
74,74,0.3086,35.71,1,1557375654866
79,79,0.3074,728.41,1,1557378131161
78,78,0.3076,400.0,1,1557378131161
77,77,0.3078,41.82,1,1557378131161
76,76,0.3079,780.87,1,1557378131161
75,75,0.3101,50.03,1,1557378131161
80,80,0.3074,60.0,0,1557379090879
81,81,0.3071,60.59,1,1557379307053
82,82,0.307,2567.65,1,1557379935111
83,83,0.307,70.0,1,1557379968234
84,84,0.307,942.57,1,1557379985143
85,85,0.307,205.49,1,1557380231485
86,86,0.3031,205.49,1,1557380231537
87,87,0.303,51.0,1,1557381789524
88,88,0.303,284.02,1,1557382106450
89,89,0.3,125.57,1,1557382106450
90,90,0.3006,1000.0,0,1557382106474
91,91,0.3009,500.0,1,1557384757145
92,92,0.3006,341.44,1,1557384757145
93,93,0.3006,158.56,1,1557384994427
94,94,0.3,294.77,1,1557384994427
95,95,0.2979,2947.45,1,1557384994427
96,96,0.298,802.32,1,1557386412568
97,97,0.2979,1612.0,0,1557386412602
98,98,0.2979,0.11,0,1557386412660
99,99,0.2994,802.55,1,1557395449390
100,100,0.2979,112.2,1,1557395449390
101,101,0.2979,956.4,1,1557396450074
102,102,0.2979,51.32,1,1557396450172
103,103,0.2955,50.94,1,1557396917951
104,104,0.2959,718.06,0,1557401492298
105,105,0.296,296.0,0,1557401492298
106,106,0.296,323.3,0,1557401831771
107,107,0.296,4763.0,1,1557401831795
108,108,0.296,1718.0,1,1557401831797
109,109,0.296,416.65,1,1557401831849
110,110,0.296,331.0,1,1557401831860
111,111,0.296,462.75,1,1557401831878
112,112,0.296,1783.0,1,1557401831955
113,113,0.296,3420.5,1,1557401831980
114,114,0.296,501.55,1,1557401832022
115,115,0.296,416.65,1,1557401832113
116,116,0.296,2278.84,1,1557401832119
117,117,0.296,85.0,1,1557401832136
118,118,0.296,72.6,1,1557401832263
119,119,0.296,168.0,1,1557401832289
120,120,0.296,259.82,1,1557401832351
121,121,0.296,531.0,1,1557401832366
122,122,0.296,206.0,1,1557401832375
123,123,0.296,325.68,1,1557401832417
124,124,0.296,541.9,1,1557401832537
125,125,0.296,2685.5,1,1557401833081
126,126,0.296,71.91,1,1557401833095
127,127,0.296,13881.97,1,1557401833165
128,128,0.296,178.0,1,1557401833681
129,129,0.296,2896.8,1,1557401834188
130,130,0.296,417.08,1,1557401834665
131,131,0.296,361.66,1,1557401834726
132,132,0.296,671.0,1,1557401835182
133,133,0.296,208.0,1,1557401835369
134,134,0.296,215.16,1,1557401835549
135,135,0.296,480.0,1,1557401835583
136,136,0.296,203.86,1,1557401835602
137,137,0.296,214.0,1,1557401835605
138,138,0.296,1894.19,1,1557401835651
139,139,0.296,464.1,1,1557401835717
140,140,0.296,3660.0,1,1557401835991
141,141,0.296,101.89,1,1557401836625
142,142,0.296,142.01,1,1557401836681
143,143,0.296,305.0,1,1557401836726
144,144,0.296,635.23,1,1557401836833
145,145,0.296,573.3,1,1557401836899
146,146,0.296,417.25,1,1557401837424
147,147,0.296,889.75,1,1557401837502
148,148,0.296,1961.21,1,1557401837604
149,149,0.296,376.86,1,1557401837702
150,150,0.296,2548.74,1,1557401837708
151,151,0.296,538.38,1,1557401837757
152,152,0.296,130.05,1,1557401837774
153,153,0.296,389.28,1,1557401837857
154,154,0.296,33.93,1,1557401838021
155,155,0.296,51.0,1,1557401838286
156,156,0.296,613.0,1,1557401838368
157,157,0.296,275.0,1,1557401838813
158,158,0.296,1206.92,1,1557401838864
159,159,0.296,40.0,1,1557401839996
160,160,0.296,585.0,1,1557401839997
161,161,0.296,57.94,1,1557401840024
162,162,0.296,1287.0,1,1557401840129
163,163,0.296,708.37,1,1557401840486
164,164,0.296,386.66,1,1557401840565
