,Date,Price,Open,High,Low,Vol.,Change %
366,2019-05-01,160.38,161.84,163.7,158.85,7.74M,-0.88%
365,2019-05-02,161.66,160.35,162.88,159.22,8.13M,0.80%
364,2019-05-03,167.86,161.66,169.8,160.86,10.23M,3.83%
363,2019-05-04,163.68,167.87,171.04,160.36,10.23M,-2.49%
362,2019-05-05,163.03,163.67,165.25,159.56,8.54M,-0.39%
361,2019-05-06,173.0,163.03,176.98,159.66,12.97M,6.11%
360,2019-05-07,169.34,172.99,181.39,169.06,15.23M,-2.11%
359,2019-05-08,170.77,169.34,172.68,165.7,9.75M,0.84%
358,2019-05-09,170.84,170.76,173.28,167.03,10.03M,0.04%
357,2019-05-10,172.77,170.85,175.78,168.86,12.73M,1.13%
356,2019-05-11,192.27,172.78,204.72,172.75,20.90M,11.28%
355,2019-05-12,188.07,192.17,202.93,182.81,18.52M,-2.18%
354,2019-05-13,196.02,188.09,206.1,185.69,14.80M,4.22%
353,2019-05-14,217.42,196.0,220.02,195.22,16.80M,10.92%
352,2019-05-15,248.15,217.34,249.78,217.32,18.66M,14.13%
351,2019-05-16,264.69,248.14,278.52,244.27,25.14M,6.66%
350,2019-05-17,244.45,264.68,267.8,224.62,22.54M,-7.65%
349,2019-05-18,233.89,244.38,247.84,232.13,13.93M,-4.32%
348,2019-05-19,259.63,233.87,263.05,232.85,14.38M,11.01%
347,2019-05-20,250.72,259.68,259.68,238.64,12.38M,-3.43%
346,2019-05-21,253.76,250.72,261.59,246.85,10.24M,1.21%
345,2019-05-22,244.34,253.7,259.7,241.68,10.83M,-3.71%
344,2019-05-23,244.68,244.35,247.3,231.89,13.07M,0.14%
343,2019-05-24,249.17,244.68,254.22,241.74,10.07M,1.83%
342,2019-05-25,250.68,249.2,256.9,247.9,8.58M,0.61%
341,2019-05-26,264.68,250.69,268.75,245.92,10.06M,5.59%
340,2019-05-27,270.98,264.66,279.07,262.96,11.58M,2.38%
339,2019-05-28,271.18,270.97,275.39,265.5,9.35M,0.08%
338,2019-05-29,268.61,271.16,273.72,260.85,22.33M,-0.95%
337,2019-05-30,254.52,268.62,287.99,241.51,15.52M,-5.24%
336,2019-05-31,267.99,254.57,268.7,246.61,11.63M,5.29%
335,2019-06-01,264.31,267.94,274.94,261.14,9.06M,-1.37%
334,2019-06-02,269.01,264.26,272.64,263.59,7.31M,1.78%
333,2019-06-03,250.37,269.03,269.77,248.77,9.23M,-6.93%
332,2019-06-04,241.26,250.26,251.47,235.35,11.39M,-3.64%
331,2019-06-05,245.83,241.27,248.24,237.94,8.64M,1.89%
330,2019-06-06,248.54,245.81,250.0,236.4,7.72M,1.10%
329,2019-06-07,248.98,248.63,253.12,244.33,7.41M,0.18%
