,Price,Date
4,15595.0,2020-09-05 09:19:41.879657+00:00
592,15595.0,2020-09-05 09:29:21.127217+00:00
1180,15595.0,2020-09-05 09:31:34.737010+00:00
2098,16700.0,2020-09-06 04:33:00.411131+00:00
2546,16700.0,2020-09-06 04:34:00.427784+00:00
3010,16700.0,2020-09-06 04:35:00.663291+00:00
3338,16700.0,2020-09-06 04:36:00.423153+00:00
3886,16700.0,2020-09-06 04:37:00.475470+00:00
4440,16700.0,2020-09-06 04:38:00.495421+00:00
4995,16700.0,2020-09-06 04:39:00.462022+00:00
5552,16700.0,2020-09-06 04:40:00.569273+00:00
6110,16700.0,2020-09-06 04:41:00.521751+00:00
6668,16700.0,2020-09-06 04:42:00.441413+00:00
7229,16700.0,2020-09-06 04:43:00.455126+00:00
7790,16700.0,2020-09-06 04:44:00.550629+00:00
8352,16700.0,2020-09-06 04:45:00.484557+00:00
8914,16700.0,2020-09-06 04:46:00.505272+00:00
9476,16700.0,2020-09-06 04:47:00.532433+00:00
10038,16700.0,2020-09-06 04:48:00.469497+00:00
10600,16700.0,2020-09-06 04:49:00.559163+00:00
11162,16700.0,2020-09-06 04:50:00.522106+00:00
11725,16700.0,2020-09-06 04:51:00.479884+00:00
12289,16700.0,2020-09-06 04:52:00.457156+00:00
12853,16700.0,2020-09-06 04:53:00.473009+00:00
13417,16700.0,2020-09-06 04:54:00.506746+00:00
13981,16700.0,2020-09-06 04:55:00.467055+00:00
14545,16700.0,2020-09-06 04:56:00.518675+00:00
15109,16700.0,2020-09-06 04:57:00.471596+00:00
15673,16700.0,2020-09-06 04:58:00.506601+00:00
16238,16700.0,2020-09-06 04:59:00.616139+00:00
16804,16700.0,2020-09-06 05:00:00.600896+00:00
17370,16700.0,2020-09-06 05:01:00.529941+00:00
17936,16700.0,2020-09-06 05:02:00.483500+00:00
18502,16700.0,2020-09-06 05:03:00.501201+00:00
19068,16700.0,2020-09-06 05:04:00.527125+00:00
19634,16700.0,2020-09-06 05:05:00.522043+00:00
20201,16700.0,2020-09-06 05:06:00.529150+00:00
20768,16700.0,2020-09-06 05:07:00.525825+00:00
21335,16700.0,2020-09-06 05:08:00.512346+00:00
21902,16700.0,2020-09-06 05:09:00.566857+00:00
